0.000,0.870,0.800,0.830,0.000,1.690,0.000,1.290,0.170,1.000,0.740,0.120,0.000
0.870,0.000,0.710,0.740,0.330,0.620,0.350,0.260,0.150,0.300,1.670,0.110,0.000
0.800,0.710,0.000,0.690,1.000,0.880,1.000,0.300,0.490,0.000,0.620,0.210,0.000
0.830,0.740,0.690,0.000,0.000,0.850,0.000,0.360,1.150,0.000,0.900,0.160,1.000
0.000,0.330,1.000,0.000,0.000,0.000,1.670,0.000,0.000,0.830,0.000,0.000,0.000
1.690,0.620,0.880,0.850,0.000,0.000,0.000,1.320,0.440,1.000,0.780,0.230,0.000
0.000,0.350,1.000,0.000,1.670,0.000,0.000,0.000,0.000,0.730,0.000,0.000,0.000
1.290,0.260,0.300,0.210,0.000,1.180,0.000,0.000,0.860,1.000,0.240,0.610,0.000
0.170,0.150,0.490,1.150,0.000,0.440,0.000,0.860,0.000,0.000,0.140,0.480,1.000
1.000,0.300,0.000,0.000,0.830,1.000,0.730,1.000,0.000,0.000,0.000,0.000,0.000
0.740,1.670,0.620,0.900,0.000,0.780,0.000,0.330,0.140,0.000,0.000,0.150,0.000
0.180,0.160,0.210,0.160,0.000,0.230,0.000,0.610,0.480,0.000,0.240,0.000,0.000
0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000
